Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 1, 'loss': 4.7597540941170795, 'best_loss': 4.7597540941170795}
drone_nominal {'update': 2, 'loss': 4.58747104383888, 'best_loss': 4.58747104383888}
drone_nominal {'update': 3, 'loss': 4.545245980063645, 'best_loss': 4.545245980063645}
drone_nominal {'update': 4, 'loss': 4.529192153431936, 'best_loss': 4.529192153431936}
drone_nominal {'update': 5, 'loss': 4.521812806946183, 'best_loss': 4.521812806946183}
drone_nominal {'update': 6, 'loss': 4.518045429259826, 'best_loss': 4.518045429259826}
drone_nominal {'update': 7, 'loss': 4.516011427741407, 'best_loss': 4.516011427741407}
drone_nominal {'update': 8, 'loss': 4.514883298645058, 'best_loss': 4.514883298645058}
drone_nominal {'update': 9, 'loss': 4.514249382311098, 'best_loss': 4.514249382311098}
drone_nominal {'update': 10, 'loss': 4.513890484614816, 'best_loss': 4.513890484614816}
drone_nominal {'update': 11, 'loss': 4.513686078152001, 'best_loss': 4.513686078152001}
drone_nominal {'update': 12, 'loss': 4.513568948988007, 'best_loss': 4.513568948988007}
drone_nominal {'delay_s': 0.01, 'windows': 81}
drone_nominal {'update': 1, 'loss': 4.47092545563047, 'best_loss': 4.47092545563047}
drone_nominal {'update': 2, 'loss': 4.279214819716408, 'best_loss': 4.279214819716408}
drone_nominal {'update': 3, 'loss': 4.238882654141183, 'best_loss': 4.238882654141183}
drone_nominal {'update': 4, 'loss': 4.226648701976876, 'best_loss': 4.226648701976876}
drone_nominal {'update': 5, 'loss': 4.222082788460624, 'best_loss': 4.222082788460624}
drone_nominal {'update': 6, 'loss': 4.220102130208189, 'best_loss': 4.220102130208189}
drone_nominal {'update': 7, 'loss': 4.219160365945992, 'best_loss': 4.219160365945992}
drone_nominal {'update': 8, 'loss': 4.218690306858975, 'best_loss': 4.218690306858975}
drone_nominal {'update': 9, 'loss': 4.2184498731566284, 'best_loss': 4.2184498731566284}
drone_nominal {'update': 10, 'loss': 4.218325318212579, 'best_loss': 4.218325318212579}
drone_nominal {'delay_s': 0.02, 'windows': 81}
drone_nominal {'update': 1, 'loss': 4.06547708313753, 'best_loss': 4.06547708313753}
drone_nominal {'update': 2, 'loss': 3.9770200923232215, 'best_loss': 3.9770200923232215}
drone_nominal {'update': 3, 'loss': 3.9575686586292074, 'best_loss': 3.9575686586292074}
drone_nominal {'update': 4, 'loss': 3.951988743161732, 'best_loss': 3.951988743161732}
drone_nominal {'update': 5, 'loss': 3.950091689120964, 'best_loss': 3.950091689120964}
drone_nominal {'update': 6, 'loss': 3.9493681230033113, 'best_loss': 3.9493681230033113}
drone_nominal {'update': 7, 'loss': 3.9490736504438493, 'best_loss': 3.9490736504438493}
drone_nominal {'update': 8, 'loss': 3.948949866782993, 'best_loss': 3.948949866782993}
drone_nominal {'update': 9, 'loss': 3.948897020785339, 'best_loss': 3.948897020785339}
drone_nominal {'delay_s': 0.03, 'windows': 81}
drone_nominal {'update': 1, 'loss': 3.7943226232862344, 'best_loss': 3.7943226232862344}
drone_nominal {'update': 2, 'loss': 3.750467242906564, 'best_loss': 3.750467242906564}
