epoch,loss,body_loss,endpoint1_loss,endpoint2_loss,boundary_loss,val_score,val_iou,val_dice,body_iou,endpoint1_iou,endpoint2_iou,endpoint1_f1,endpoint2_f1,threshold_body,threshold_endpoint1,threshold_endpoint2,lr,seconds
1,3.205572879675663,1.0612231944546555,1.0421342940041514,1.0623258171659526,0.19944784541924795,0.6181648855876567,0.5935168756827189,0.7409359929508295,0.6931182156410102,0.6100258661517723,0.4774065452553745,0.6956521739130435,0.5512367491166078,0.35,0.49999999999999994,0.5499999999999999,0.0009996222277579543,53.85052180290222
2,2.7690245816201875,0.7398753527439001,1.0030017188101104,1.0050769159288118,0.10535294968973506,0.6930926628201222,0.641465419258899,0.7776161103787177,0.7746527183310477,0.5914441540075462,0.5582993854381029,0.7228070175438597,0.7164179104477612,0.85,0.9,0.85,0.0009984894935292329,32.34279727935791
3,2.3829278801426743,0.3831320179231239,0.9831427444111217,1.0018817764340024,0.07385677866863483,0.800906193367629,0.7545030776778253,0.8590800465011726,0.8124657549093159,0.7639664040271394,0.6870770740970205,0.8760330578512396,0.8495575221238938,0.7999999999999999,0.9,0.9,0.0009966035439079141,31.86465883255005
4,2.14964767297109,0.24567883755221512,0.8975915403077097,0.995460589726766,0.05458368530327624,0.8225704693322783,0.7672285271480752,0.867565612664199,0.8307584829263003,0.7351584127960628,0.7357686857218626,0.8888888888888888,0.9090909090909091,0.7999999999999999,0.95,0.95,0.0009939672868916176,32.41201949119568
5,1.771111477505077,0.2368545098738237,0.5404621723926428,0.9846765471227241,0.04559122037255403,0.8220372263022697,0.7848053880169877,0.8785108176680291,0.8436754003263622,0.7913270850312415,0.7194136786933594,0.896265560165975,0.8311688311688312,0.75,0.95,0.95,0.000990584787397583,31.91588568687439
6,1.5724792335972642,0.21666252432447491,0.4256747550133503,0.9218074534878586,0.041672519436388306,0.849303985283378,0.8103470520214944,0.8950298292904479,0.8410855322408388,0.8099509796996623,0.7800046441239821,0.9391304347826087,0.892018779342723,0.85,0.95,0.9,0.0009864612609948615,31.953685998916626
7,1.325748299107407,0.21496506983583624,0.43525924149787787,0.6684783444260106,0.035228325674931206,0.8644889693740815,0.8253533409165192,0.9042167157467004,0.8505138779627315,0.815466931674156,0.8100792131126702,0.9432314410480349,0.927536231884058,0.7999999999999999,0.9,0.85,0.0009816030658622871,32.51083707809448
8,1.238503421797897,0.20336176680796075,0.36387889809680707,0.6641186701528954,0.03572043144341671,0.8657929399652169,0.8300565782173783,0.9070839920363847,0.8477770357411615,0.8246493714119614,0.8177433274990119,0.9391304347826087,0.9313725490196079,0.75,0.7999999999999999,0.7999999999999999,0.0009760176929846253,33.41236329078674
9,1.1497397657596704,0.19422960416837173,0.33942145741347113,0.6104228659109636,0.02832910728951295,0.8609723998398202,0.8263886502636564,0.9048533037805191,0.8469809909888705,0.8256422195223094,0.8065427402797892,0.8956521739130435,0.9547738693467336,0.75,0.7999999999999999,0.7,0.0009697137546020174,32.96035099029541
10,1.053164045015971,0.16545199106136957,0.31628603826869617,0.5658400681885806,0.027929722359686188,0.866016330409162,0.8250305034901406,0.9038619912397032,0.8570510680805851,0.8299510146955913,0.7880894276942455,0.9155555555555556,0.9547738693467336,0.7,0.85,0.65,0.0009627009709305306,33.051546573638916
