episodes,requested_episodes,successes,total_success_rate,batch_success_rate,endpoint_successes,total_endpoint_success_rate,batch_endpoint_success_rate,legacy_scientific_successes,total_legacy_scientific_success_rate,batch_legacy_scientific_success_rate,episodes_per_second,elapsed_s,mean_episode_reward,median_minimum_tip_distance_m,mean_maximum_uav_displacement_m,numerical_failure_rate,gradient_updates,valid_transitions,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,gradient_norm,epochs_completed
2048,1000000,0,0.0,0.0,1,0.00048828125,0.00048828125,0,0.0,0.0,79.07824971183146,25.898398200049996,-208.64190673828125,1.0280288457870483,61.34187698364258,0.0,100,204800,-0.006493961354717612,477.9526974487305,5.525037298202514,0.006127866144743166,0.073232421875,1.693811757862568,4
4096,1000000,0,0.0,0.0,3,0.000732421875,0.0009765625,0,0.0,0.0,105.12113764939804,38.96457069995813,-191.5080108642578,1.0061758756637573,44.89662170410156,0.0,200,204800,-0.008272553621791303,403.7688690185547,5.542777962684632,0.006990732409394696,0.091416015625,2.697364263534546,4
6144,1000000,1,0.00016276041666666666,0.00048828125,4,0.0006510416666666666,0.00048828125,0,0.0,0.0,117.00603851703003,52.510110400035046,-171.47915649414062,0.9619011282920837,30.90353012084961,0.0,300,204800,-0.009241623601410539,329.7259683227539,5.547356929779053,0.007627190543425968,0.104630126953125,2.7319094735383986,4
8192,1000000,1,0.0001220703125,0.0,4,0.00048828125,0.0,0,0.0,0.0,123.94922618462654,66.09157839999534,-149.80633544921875,0.8874731063842773,20.10803985595703,0.0,400,204800,-0.011168562108650804,257.35218811035156,5.546640415191651,0.008765879808051977,0.125496826171875,2.6825118121504783,4
10240,1000000,1,9.765625e-05,0.0,4,0.000390625,0.0,0,0.0,0.0,128.23246654756275,79.85497179999948,-125.60406494140625,0.7733643651008606,11.757606506347656,0.0,500,204800,-0.011628761569736525,186.3291781616211,5.54288480758667,0.008864055012090831,0.12607421875,2.831851504743099,4
12288,1000000,2,0.00016276041666666666,0.00048828125,5,0.0004069010416666667,0.00048828125,0,0.0,0.0,131.65806404041223,93.33268029999454,-104.33122253417969,0.6727439165115356,7.140917778015137,0.0,600,204800,-0.01143650186713785,134.49158630371093,5.534397926330566,0.00867609636297857,0.12175048828125,3.4998261910676955,4
14336,1000000,2,0.00013950892857142856,0.0,5,0.00034877232142857144,0.0,0,0.0,0.0,134.50754756932298,106.58137969998643,-87.496337890625,0.531471848487854,5.09151554107666,0.0,700,204800,-0.012236494761891663,98.74974975585938,5.513066911697388,0.008384847794441158,0.11770263671875,4.353403821587563,4
16384,1000000,2,0.0001220703125,0.0,5,0.00030517578125,0.0,0,0.0,0.0,136.295935344724,120.20901400002185,-70.41337585449219,0.40249520540237427,3.569281816482544,0.0,800,204800,-0.011780504643684254,68.21173629760742,5.494948506355286,0.007997137163183652,0.110667724609375,4.861860946416855,4
18432,1000000,2,0.00010850694444444444,0.0,6,0.0003255208333333333,0.00048828125,0,0.0,0.0,138.37649221948206,133.2018156000413,-59.74472427368164,0.3293003439903259,2.8390469551086426,0.0,900,204800,-0.011056188407819719,52.91864902496338,5.475248064994812,0.007522520635830005,0.103135986328125,5.848462543487549,4
20480,1000000,5,0.000244140625,0.00146484375,9,0.000439453125,0.00146484375,0,0.0,0.0,140.41405456844979,145.85434530000202,-49.053123474121094,0.2779634892940521,2.257996082305908,0.0,1000,204800,-0.010391352687729522,41.15903400421143,5.45522632598877,0.0071616565955628176,0.0962158203125,5.652147409915925,4
