episodes,requested_episodes,successes,total_success_rate,batch_success_rate,rolling_success_rate,rolling_window_episodes,endpoint_successes,total_endpoint_success_rate,batch_endpoint_success_rate,legacy_scientific_successes,total_legacy_scientific_success_rate,batch_legacy_scientific_success_rate,episodes_per_second,elapsed_s,mean_episode_reward,median_minimum_tip_distance_m,mean_maximum_uav_displacement_m,mean_terminal_uav_displacement_m,numerical_failure_rate,gradient_updates,valid_transitions,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,gradient_norm,epochs_completed
2048,500000,1632,0.796875,0.796875,0.796875,5000,1635,0.79833984375,0.79833984375,0,0.0,0.0,90.96661332045132,22.513754500076175,91.41243743896484,0.03537767007946968,0.9198105931282043,0.7322499752044678,0.0,12,44109,-1.7753706439786279e-06,28.39455795288086,0.18746008723974228,0.0013859586025925332,0.06250592755774656,156.1200993855794,2
4096,500000,3265,0.797119140625,0.79736328125,0.797119140625,5000,3273,0.799072265625,0.7998046875,0,0.0,0.0,122.57583028353385,33.416049399995245,91.08414459228516,0.03572212532162666,0.9205995202064514,0.7324368953704834,0.0,24,44055,-6.569856001685062e-05,27.05074373881022,0.18701693539818126,0.0007458306105642502,0.028734533426662285,109.47960503896077,2
6144,500000,4911,0.79931640625,0.8037109375,0.8012,5000,4922,0.8011067708333334,0.80517578125,0,0.0,0.0,139.98145929167677,43.89152699999977,91.4952621459961,0.035767436027526855,0.9213535189628601,0.7379732131958008,0.0,36,43224,-0.002198209927882999,26.959478855133057,0.18657229964931804,0.0005138055260734593,0.015555625587391356,120.04168732961018,2
8192,500000,6541,0.7984619140625,0.7958984375,0.7968,5000,6556,0.80029296875,0.7978515625,0,0.0,0.0,150.21675533296954,54.534529000055045,91.5689468383789,0.03594360128045082,0.9177969098091125,0.7288790941238403,0.0,48,44193,0.0013792115302445986,27.775089740753174,0.1861423725883166,0.0009633050981392444,0.0418733770493418,97.21338907877603,2
10240,500000,8165,0.79736328125,0.79296875,0.7954,5000,8186,0.7994140625,0.7958984375,0,0.0,0.0,156.17113448251274,65.56909530004486,91.24531555175781,0.03580131009221077,0.9165774583816528,0.7278273701667786,0.0,60,44614,0.0030411162879318,28.643044312795002,0.18570502226551372,0.0011779295014093805,0.05631717527285218,116.58212629954019,2
12288,500000,9802,0.7976888020833334,0.79931640625,0.7938,5000,9825,0.799560546875,0.80029296875,0,0.0,0.0,139.83424005032074,87.87547309999354,91.3551254272461,0.03483102098107338,0.9205136299133301,0.7350376844406128,0.0,72,43766,-0.0005367998091969639,27.30665906270345,0.18530006210009256,0.000631182745261564,0.02335242244104544,104.87140655517578,2
14336,500000,11435,0.7976422991071429,0.79736328125,0.7974,5000,11462,0.7995256696428571,0.79931640625,0,0.0,0.0,145.19266390971978,98.73777100001462,91.6112060546875,0.03516926243901253,0.917556643486023,0.7298914194107056,0.0,84,43991,0.0021599911463757353,29.10216744740804,0.18501384928822517,0.0007998795334363724,0.037349763403957084,122.33583863576253,2
16384,500000,13045,0.79620361328125,0.7861328125,0.793,5000,13079,0.79827880859375,0.78955078125,0,0.0,0.0,149.9709268397291,109.24784119997639,91.33478546142578,0.03542209789156914,0.9151514768600464,0.7201412916183472,0.0,96,45416,-0.0003593024545504401,27.539397875467934,0.18471834063529968,0.0003493385722019108,0.010755592569087941,105.39575831095377,2
18432,500000,14656,0.7951388888888888,0.78662109375,0.7908,5000,14698,0.7974175347222222,0.79052734375,0,0.0,0.0,154.00120136310144,119.68737800000235,91.53309631347656,0.03571496158838272,0.9155823588371277,0.7201961278915405,0.0,108,45344,-0.0004501049770624377,28.723339080810547,0.18430575480063754,0.0004675270505079728,0.013516020029783249,107.91569646199544,2
20480,500000,16288,0.7953125,0.796875,0.7902,5000,16335,0.797607421875,0.79931640625,0,0.0,0.0,157.30310523738692,130.19450550002512,91.92069244384766,0.03585852310061455,0.9158033132553101,0.7275874614715576,0.0,120,44049,0.0010240257640058794,28.534599145253498,0.18379038448135057,0.0007304559314131135,0.02890110481530428,144.10304101308185,2
22528,500000,17887,0.7939897017045454,0.78076171875,0.7896,5000,17940,0.7963423295454546,0.78369140625,0,0.0,0.0,147.9971635760136,152.21913350000978,91.5501708984375,0.03530944138765335,0.9154114127159119,0.7164434790611267,0.0,132,46089,-0.0010637312855881949,28.566531817118324,0.18334423005580902,0.0006100129796019852,0.023522297386080027,92.21060911814371,2
24576,500000,19524,0.79443359375,0.79931640625,0.793,5000,19584,0.796875,0.802734375,0,0.0,0.0,150.9142680004136,162.84742540004663,92.042236328125,0.03568516671657562,0.9152365922927856,0.7289795875549316,0.0,144,43789,0.002682303524731348,29.457891146341957,0.18287213519215584,0.0005651996486146041,0.020872800766179957,93.78617827097574,2
26624,500000,21127,0.7935321514423077,0.78271484375,0.791,5000,21188,0.7958233173076923,0.783203125,0,0.0,0.0,153.59295002451378,173.34128940000664,91.43896484375,0.03543561324477196,0.9166250228881836,0.7168948650360107,0.0,156,45848,-0.0010636967490427196,29.62019395828247,0.18230077996850014,0.0006769239143219844,0.024864351066450276,85.51461203893025,2
28672,500000,22755,0.7936314174107143,0.794921875,0.794,5000,22820,0.7958984375,0.796875,0,0.0,0.0,156.1369567405251,183.63365470001008,91.7564697265625,0.03590254858136177,0.9205007553100586,0.7291362881660461,0.0,168,44318,-0.0007240208409105737,28.634185949961342,0.181680033604304,0.0006127650734318497,0.020537869539111853,94.21372286478677,2
30720,500000,24328,0.7919270833333333,0.76806640625,0.7824,5000,24398,0.7942057291666667,0.7705078125,0,0.0,0.0,158.2812204351148,194.0849326000316,91.06340789794922,0.03616734594106674,0.9176852107048035,0.7068986296653748,0.0,180,47685,-0.0005856175945761303,27.499926249186196,0.18110189338525134,0.0006246978939543624,0.021666155817608036,84.93692954381306,2
32768,500000,25931,0.791351318359375,0.78271484375,0.7762,5000,26007,0.793670654296875,0.78564453125,0,0.0,0.0,151.75681859019758,215.92440000001807,91.50760650634766,0.03564434498548508,0.917570948600769,0.7201187610626221,0.0,192,45836,0.000305724194428573,27.5919246673584,0.18041612207889557,0.0006016595977295461,0.019882631953805685,85.92541281382242,2
34816,500000,27531,0.7907571231617647,0.78125,0.7804,5000,27613,0.7931123621323529,0.7841796875,0,0.0,0.0,153.69970323446233,226.5196305999998,91.44036865234375,0.035914164036512375,0.9179348945617676,0.7183970212936401,0.0,204,46071,-0.0013971178559586406,27.01235294342041,0.17982973530888557,0.000532158049585026,0.015951181606700022,74.19597578048706,2
36864,500000,29140,0.7904730902777778,0.78564453125,0.782,5000,29226,0.7928059895833334,0.78759765625,0,0.0,0.0,155.46610178991864,237.1192149000708,91.74154663085938,0.034785304218530655,0.9195221662521362,0.7214051485061646,0.0,216,45546,0.0003925141609215643,26.35220432281494,0.17924417555332184,0.0007796113844354597,0.030735987704247236,108.77491982777913,2
38912,500000,30740,0.7899876644736842,0.78125,0.782,5000,30834,0.7924033717105263,0.78515625,0,0.0,0.0,157.10479112675256,247.68181620002724,91.42623138427734,0.03576606139540672,0.9165737628936768,0.7200268507003784,0.0,228,45992,-4.340704375257094e-05,28.38441960016886,0.178738072514534,0.0006134034980883977,0.02096108036736647,81.58243083953857,2
40960,500000,32369,0.7902587890625,0.79541015625,0.7848,5000,32471,0.7927490234375,0.79931640625,0,0.0,0.0,158.44668751905434,258.50966430001426,91.99542236328125,0.0352773517370224,0.917130172252655,0.7284290790557861,0.0,240,44259,0.001022249402012676,28.641801198323567,0.17828628420829773,0.0006085198506298184,0.02123571691724161,88.17669773101807,2
43008,500000,33943,0.7892252604166666,0.7685546875,0.7798,5000,34050,0.7917131696428571,0.77099609375,0,0.0,0.0,153.465918526074,280.24463289999403,91.49701690673828,0.03575778007507324,0.9155977368354797,0.7062548398971558,0.0,252,47623,0.00026352672527233756,29.230894088745117,0.17787676056226093,0.0009583544024280855,0.0402425251280268,103.00204849243164,2
45056,500000,35509,0.7881081321022727,0.7646484375,0.7708,5000,35621,0.7905939275568182,0.76708984375,0,0.0,0.0,154.99729785727138,290.68893860001117,91.67497253417969,0.03615591302514076,0.914128303527832,0.7032593488693237,0.0,264,48114,-0.00025061696457366145,28.380635738372803,0.17743228872617084,0.0005279723973217187,0.01616528995024661,92.60858058929443,2
47104,500000,37107,0.7877674932065217,0.7802734375,0.769,5000,37227,0.7903150475543478,0.7841796875,0,0.0,0.0,156.37868249159976,301.21752689999994,91.82940673828125,0.035576142370700836,0.9142948389053345,0.7139596343040466,0.0,276,46145,-0.0006505353570294876,28.265785058339436,0.1769462376832962,0.0005920562737931807,0.01930523741369446,99.09911028544107,2
49152,500000,38742,0.7882080078125,0.79833984375,0.7814,5000,38870,0.7908121744791666,0.80224609375,0,0.0,0.0,157.59502037081876,311.8880272000097,92.14507293701172,0.03548947349190712,0.9172183275222778,0.7306230664253235,0.0,288,43909,0.0012175949911276498,29.531755924224854,0.17656387637058893,0.0005371154376613655,0.017224480553219713,102.8191016515096,2
51200,500000,40397,0.78900390625,0.80810546875,0.799,5000,40533,0.79166015625,0.81201171875,0,0.0,0.0,158.73308665089635,322.5540502000367,91.98809814453125,0.03553945943713188,0.9212170243263245,0.7401120662689209,0.0,300,42707,0.008182932215277106,29.491599400838215,0.1762318598727385,0.0007982004424320621,0.03501312977944811,88.97081025441487,2
