episodes,requested_episodes,successes,total_success_rate,batch_success_rate,rolling_success_rate,rolling_window_episodes,endpoint_successes,total_endpoint_success_rate,batch_endpoint_success_rate,legacy_scientific_successes,total_legacy_scientific_success_rate,batch_legacy_scientific_success_rate,episodes_per_second,elapsed_s,mean_episode_reward,median_minimum_tip_distance_m,mean_maximum_uav_displacement_m,numerical_failure_rate,gradient_updates,valid_transitions,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,gradient_norm,epochs_completed
2048,1000000,0,0.0,0.0,0.0,5000,1,0.00048828125,0.00048828125,0,0.0,0.0,107.59563618166948,19.03422919998411,-171.145263671875,1.0275851488113403,34.174591064453125,0.0,72,143360,-0.006100915039294503,563.9783096313477,5.522945801417032,0.006109722052113082,0.07311164008246528,2.6868112755732403,4
4096,1000000,0,0.0,0.0,0.0,5000,1,0.000244140625,0.0,0,0.0,0.0,140.31871505132352,29.19068919995334,-160.6178741455078,1.0160534381866455,27.115516662597656,0.0,144,143360,-0.006712369695176474,496.8948720296224,5.532018529044257,0.005998221599030431,0.07514444986979166,4.071490828154816,4
6144,1000000,0,0.0,0.0,0.0,5000,2,0.0003255208333333333,0.00048828125,0,0.0,0.0,156.36751502980866,39.292048599920236,-147.64564514160156,0.9756885766983032,20.654075622558594,0.0,216,143360,-0.00781167667850645,423.85355292426215,5.540704713927375,0.007151364182997591,0.0954250759548611,4.067494769063261,4
8192,1000000,0,0.0,0.0,0.0,5000,2,0.000244140625,0.0,0,0.0,0.0,166.55557675388602,49.1847835999215,-130.87240600585938,0.9117686748504639,14.22867202758789,0.0,288,143360,-0.008307227289252397,339.6975432501899,5.542470309469435,0.007523598727756406,0.1028561062282986,5.089221519728501,4
10240,1000000,1,9.765625e-05,0.00048828125,0.0002,5000,3,0.00029296875,0.00048828125,0,0.0,0.0,173.35287345259667,59.07026399997994,-115.08592224121094,0.7993032336235046,9.933761596679688,0.0,360,143300,-0.010628356682395356,271.53682581583655,5.531794402334425,0.008072458066130316,0.1127539893819226,5.284066561609507,4
12288,1000000,2,0.00016276041666666666,0.00048828125,0.0004,5000,4,0.0003255208333333333,0.00048828125,0,0.0,0.0,156.7777695697725,78.37845909991302,-97.94259643554688,0.6960870027542114,6.605164527893066,0.0,432,143342,-0.010932970538205052,204.72530767652722,5.522850420739915,0.007630235319488241,0.10637780610058042,5.3386778425839205,4
14336,1000000,4,0.00027901785714285713,0.0009765625,0.0008,5000,6,0.0004185267857142857,0.0009765625,0,0.0,0.0,162.7822543061978,88.06856779998634,-81.74170684814453,0.5648054480552673,4.504020690917969,0.0,504,143267,-0.009957352656379549,151.79832543267142,5.513573282294803,0.007317956914145421,0.10029456660979323,7.942397016617987,4
16384,1000000,4,0.000244140625,0.0,0.0006,5000,6,0.0003662109375,0.0,0,0.0,0.0,167.67363121851898,97.71363499993458,-70.505859375,0.4889256954193115,3.3909239768981934,0.0,576,143360,-0.010721719296674969,113.10951444837781,5.5047202242745294,0.007067565329028487,0.09706624348958333,7.897715388072861,4
18432,1000000,7,0.00037977430555555556,0.00146484375,0.001,5000,9,0.00048828125,0.00146484375,0,0.0,0.0,171.1617782601635,107.68759349989705,-58.36389923095703,0.39847883582115173,2.6298694610595703,0.0,648,143294,-0.009914562898403447,91.3404017554389,5.496113022168477,0.007133322355811186,0.09621489751670095,8.478795379400253,4
20480,1000000,9,0.000439453125,0.0009765625,0.001,5000,11,0.000537109375,0.0009765625,0,0.0,0.0,174.45849070512136,117.39182149991393,-49.11851501464844,0.353407084941864,2.0988340377807617,0.0,720,143294,-0.009606030142296933,68.85354243384467,5.48696321911282,0.006616119373575202,0.08779281077699529,8.730544418096542,4
22528,1000000,11,0.00048828125,0.0009765625,0.001,5000,13,0.0005770596590909091,0.0009765625,0,0.0,0.0,164.3883983819755,137.04130109993275,-40.23836135864258,0.30760279297828674,1.74698805809021,0.0,792,143318,-0.008656881972456176,55.150281747182206,5.476334863238864,0.005996223130649822,0.07674688121510877,7.417613728178871,4
24576,1000000,12,0.00048828125,0.00048828125,0.0006,5000,14,0.0005696614583333334,0.00048828125,0,0.0,0.0,167.5566695478274,146.67276489990763,-35.78136444091797,0.2787882685661316,1.5339140892028809,0.0,864,143339,-0.008700608825569766,46.08029958936903,5.464404205481211,0.006313612082724122,0.08086933837168746,8.568082710107166,4
