episodes,requested_episodes,successes,total_success_rate,batch_success_rate,rolling_success_rate,rolling_window_episodes,endpoint_successes,total_endpoint_success_rate,batch_endpoint_success_rate,legacy_scientific_successes,total_legacy_scientific_success_rate,batch_legacy_scientific_success_rate,episodes_per_second,elapsed_s,mean_episode_reward,median_minimum_tip_distance_m,mean_maximum_uav_displacement_m,mean_terminal_uav_displacement_m,numerical_failure_rate,gradient_updates,valid_transitions,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,gradient_norm,epochs_completed
2048,500000,1630,0.7958984375,0.7958984375,0.7958984375,5000,1634,0.7978515625,0.7978515625,0,0.0,0.0,94.40493394118955,21.69378139998298,80.6938247680664,0.036528121680021286,0.9083877801895142,0.7271909713745117,0.0,12,44286,0.00123663354315795,42.38958422342936,0.32226314644018805,0.0012166160822744132,0.057967946864664555,297.4125893910726,2
4096,500000,3267,0.797607421875,0.79931640625,0.797607421875,5000,3274,0.79931640625,0.80078125,0,0.0,0.0,126.68130188291562,32.33310629997868,80.72000122070312,0.03675733506679535,0.9099239110946655,0.7305911779403687,0.0,24,43835,0.0008766294340603054,42.121006329854325,0.32186148315668106,0.0013150739290116082,0.06504884486397107,315.8203976949056,2
6144,500000,4925,0.8015950520833334,0.8095703125,0.8022,5000,4938,0.8037109375,0.8125,0,0.0,0.0,144.61554181822888,42.48506019997876,80.86138916015625,0.03681172430515289,0.9111108779907227,0.7394507527351379,0.0,36,42540,-0.004678316821809858,42.90023612976074,0.32147448261578876,0.00087908201173074,0.035893255689491824,290.91921933492023,2
8192,500000,6548,0.79931640625,0.79248046875,0.7986,5000,6564,0.80126953125,0.7939453125,0,0.0,0.0,154.7117131173347,52.95009559998289,80.66441345214844,0.036107975989580154,0.907234787940979,0.7228739857673645,0.0,48,44672,0.0014336803772797186,41.9527317682902,0.32106759647528327,0.000737459223728365,0.030087174847722054,197.65341091156006,2
10240,500000,8183,0.79912109375,0.79833984375,0.7984,5000,8204,0.801171875,0.80078125,0,0.0,0.0,162.007358760325,63.20700539997779,80.51287841796875,0.03617409989237785,0.9091077446937561,0.7299782633781433,0.0,60,43947,-0.002304829560065021,40.825402577718094,0.3206758896509806,0.0007623786379250911,0.028541441618775327,181.20721944173175,2
12288,500000,9808,0.7981770833333334,0.79345703125,0.7952,5000,9833,0.8002115885416666,0.79541015625,0,0.0,0.0,145.4075945333395,84.50727790000383,80.45405578613281,0.03643970564007759,0.9079388380050659,0.7270294427871704,0.0,72,44556,-0.0007877139917885263,41.10268719991048,0.32023680706818897,0.0007339736728984765,0.02647890398899714,168.36911265055338,2
14336,500000,11468,0.7999441964285714,0.810546875,0.8032,5000,11501,0.80224609375,0.814453125,0,0.0,0.0,151.48298449957625,94.6376917999005,80.97013092041016,0.03676460310816765,0.9080764055252075,0.7389659881591797,0.0,84,42405,-0.0012800194332764172,41.40422248840332,0.3198001906275749,0.0012129233864470734,0.059762048845489815,184.1612450281779,2
16384,500000,13075,0.79803466796875,0.78466796875,0.7968,5000,13116,0.800537109375,0.78857421875,0,0.0,0.0,156.44182331071787,104.72902739990968,80.09510040283203,0.037617504596710205,0.9069430232048035,0.7181023359298706,0.0,96,45630,-0.000277574872598052,38.56053765614827,0.3195261110862096,0.0008254604046366391,0.03433146917571624,243.86189651489258,2
18432,500000,14686,0.7967664930555556,0.78662109375,0.794,5000,14734,0.7993706597222222,0.7900390625,0,0.0,0.0,160.553890574539,114.80257459997665,80.13482666015625,0.03691009804606438,0.9094946384429932,0.7240023016929626,0.0,108,45398,-0.0006235863353746632,37.95716794331868,0.319261168440183,0.0006218860658009362,0.02268202851215998,223.129080136617,2
20480,500000,16310,0.79638671875,0.79296875,0.7878,5000,16364,0.7990234375,0.7958984375,0,0.0,0.0,163.80534481711294,125.02644539996982,80.39962768554688,0.03649304434657097,0.9100373983383179,0.7277899980545044,0.0,120,44593,-0.0019096881539250412,38.25445810953776,0.3188839902480443,0.0008311225186237909,0.03211123441966871,158.89385795593262,2
