Evaluating frozen parent before any update {}
combined validation M0
[W914 21:33:23.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.891321027993866, 'best_loss': 4.891321027993866}
drone_nominal {'update': 2, 'loss': 4.817368201086665, 'best_loss': 4.817368201086665}
drone_nominal {'update': 3, 'loss': 4.797770394520834, 'best_loss': 4.797770394520834}
drone_nominal {'update': 4, 'loss': 4.792404480584041, 'best_loss': 4.792404480584041}
drone_nominal {'update': 5, 'loss': 4.790922772937891, 'best_loss': 4.790922772937891}
drone_nominal {'update': 6, 'loss': 4.790511169880286, 'best_loss': 4.790511169880286}
drone_nominal {'update': 7, 'loss': 4.790396236421892, 'best_loss': 4.790396236421892}
drone_nominal {'update': 8, 'loss': 4.790363998162364, 'best_loss': 4.790363998162364}
drone_nominal {'update': 9, 'loss': 4.790354921119154, 'best_loss': 4.790354921119154}
drone_nominal {'delay_s': 0.01, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.691569004256917, 'best_loss': 4.691569004256917}
drone_nominal {'update': 2, 'loss': 4.588733824444769, 'best_loss': 4.588733824444769}
drone_nominal {'update': 3, 'loss': 4.559495301405003, 'best_loss': 4.559495301405003}
drone_nominal {'update': 4, 'loss': 4.551335497852876, 'best_loss': 4.551335497852876}
drone_nominal {'update': 5, 'loss': 4.549058724094215, 'best_loss': 4.549058724094215}
drone_nominal {'update': 6, 'loss': 4.548418060569356, 'best_loss': 4.548418060569356}
drone_nominal {'update': 7, 'loss': 4.548236148514164, 'best_loss': 4.548236148514164}
drone_nominal {'update': 8, 'loss': 4.548184112427684, 'best_loss': 4.548184112427684}
drone_nominal {'update': 9, 'loss': 4.54816913864879, 'best_loss': 4.54816913864879}
drone_nominal {'delay_s': 0.02, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.556791997091461, 'best_loss': 4.556791997091461}
drone_nominal {'update': 2, 'loss': 4.409694785958892, 'best_loss': 4.409694785958892}
drone_nominal {'update': 3, 'loss': 4.366955409912975, 'best_loss': 4.366955409912975}
drone_nominal {'update': 4, 'loss': 4.355009065389631, 'best_loss': 4.355009065389631}
drone_nominal {'update': 5, 'loss': 4.35166358522649, 'best_loss': 4.35166358522649}
drone_nominal {'update': 6, 'loss': 4.350714352647721, 'best_loss': 4.350714352647721}
drone_nominal {'update': 7, 'loss': 4.350440464733761, 'best_loss': 4.350440464733761}
drone_nominal {'update': 8, 'loss': 4.35036023803298, 'best_loss': 4.35036023803298}
drone_nominal {'update': 9, 'loss': 4.35033645772263, 'best_loss': 4.35033645772263}
drone_nominal {'update': 10, 'loss': 4.350329343366368, 'best_loss': 4.350329343366368}
drone_nominal {'update': 11, 'loss': 4.350327199084999, 'best_loss': 4.350327199084999}
drone_nominal {'delay_s': 0.03, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.505774562972031, 'best_loss': 4.505774562972031}
drone_nominal {'update': 2, 'loss': 4.295243529582963, 'best_loss': 4.295243529582963}
drone_nominal {'update': 3, 'loss': 4.234713890314527, 'best_loss': 4.234713890314527}
drone_nominal {'update': 4, 'loss': 4.2177373168494645, 'best_loss': 4.2177373168494645}
drone_nominal {'update': 5, 'loss': 4.21286268087907, 'best_loss': 4.21286268087907}
drone_nominal {'update': 6, 'loss': 4.211435105659545, 'best_loss': 4.211435105659545}
drone_nominal {'update': 7, 'loss': 4.211007849866934, 'best_loss': 4.211007849866934}
drone_nominal {'update': 8, 'loss': 4.210877029985695, 'best_loss': 4.210877029985695}
drone_nominal {'update': 9, 'loss': 4.210836165910873, 'best_loss': 4.210836165910873}
drone_nominal {'update': 10, 'loss': 4.21082319645883, 'best_loss': 4.21082319645883}
drone_nominal {'delay_s': 0.04, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.532510113119298, 'best_loss': 4.532510113119298}
drone_nominal {'update': 2, 'loss': 4.255316169217786, 'best_loss': 4.255316169217786}
drone_nominal {'update': 3, 'loss': 4.176185030573968, 'best_loss': 4.176185030573968}
drone_nominal {'update': 4, 'loss': 4.153419781111041, 'best_loss': 4.153419781111041}
drone_nominal {'update': 5, 'loss': 4.146479217839868, 'best_loss': 4.146479217839868}
drone_nominal {'update': 6, 'loss': 4.144297442165848, 'best_loss': 4.144297442165848}
drone_nominal {'update': 7, 'loss': 4.143596627765893, 'best_loss': 4.143596627765893}
drone_nominal {'update': 8, 'loss': 4.143366272350994, 'best_loss': 4.143366272350994}
drone_nominal {'update': 9, 'loss': 4.1432887985553455, 'best_loss': 4.1432887985553455}
drone_nominal {'update': 10, 'loss': 4.1432622355438316, 'best_loss': 4.1432622355438316}
drone_nominal {'delay_s': 0.06, 'windows': 80}
drone_nominal {'update': 1, 'loss': 4.7849234460661485, 'best_loss': 4.7849234460661485}
drone_nominal {'update': 2, 'loss': 4.412533364262222, 'best_loss': 4.412533364262222}
drone_nominal {'update': 3, 'loss': 4.310031383147603, 'best_loss': 4.310031383147603}
drone_nominal {'update': 4, 'loss': 4.2781444870742815, 'best_loss': 4.2781444870742815}
drone_nominal {'update': 5, 'loss': 4.267037712257941, 'best_loss': 4.267037712257941}
drone_nominal {'update': 6, 'loss': 4.263002052160699, 'best_loss': 4.263002052160699}
