preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 72}
drone_nominal {'update': 1, 'loss': 8.33333835570943, 'best_loss': 8.33333835570943}
drone_nominal {'update': 2, 'loss': 7.954576097709193, 'best_loss': 7.954576097709193}
drone_nominal {'update': 3, 'loss': 7.755400668132215, 'best_loss': 7.755400668132215}
drone_nominal {'update': 4, 'loss': 7.659169180757361, 'best_loss': 7.659169180757361}
drone_nominal {'update': 5, 'loss': 7.612568641516526, 'best_loss': 7.612568641516526}
drone_nominal {'update': 6, 'loss': 7.588516238567179, 'best_loss': 7.588516238567179}
drone_nominal {'update': 7, 'loss': 7.575208982643021, 'best_loss': 7.575208982643021}
drone_nominal {'update': 8, 'loss': 7.567389035566218, 'best_loss': 7.567389035566218}
drone_nominal {'update': 9, 'loss': 7.562568090410358, 'best_loss': 7.562568090410358}
drone_nominal {'update': 10, 'loss': 7.559480136072348, 'best_loss': 7.559480136072348}
drone_nominal {'update': 11, 'loss': 7.557432018817222, 'best_loss': 7.557432018817222}
drone_nominal {'update': 12, 'loss': 7.5560222565297455, 'best_loss': 7.5560222565297455}
drone_nominal {'update': 13, 'loss': 7.555010486957493, 'best_loss': 7.555010486957493}
drone_nominal {'update': 14, 'loss': 7.554250473000518, 'best_loss': 7.554250473000518}
drone_nominal {'update': 15, 'loss': 7.55365253034175, 'best_loss': 7.55365253034175}
drone_nominal {'delay_s': 0.01, 'windows': 72}
drone_nominal {'update': 1, 'loss': 8.12439695166126, 'best_loss': 8.12439695166126}
drone_nominal {'update': 2, 'loss': 7.789304023134676, 'best_loss': 7.789304023134676}
drone_nominal {'update': 3, 'loss': 7.603308422236983, 'best_loss': 7.603308422236983}
drone_nominal {'update': 4, 'loss': 7.513273367917529, 'best_loss': 7.513273367917529}
drone_nominal {'update': 5, 'loss': 7.471418522275899, 'best_loss': 7.471418522275899}
drone_nominal {'update': 6, 'loss': 7.451569778992096, 'best_loss': 7.451569778992096}
drone_nominal {'update': 7, 'loss': 7.441558517063127, 'best_loss': 7.441558517063127}
drone_nominal {'update': 8, 'loss': 7.436089885519601, 'best_loss': 7.436089885519601}
drone_nominal {'update': 9, 'loss': 7.432834627337796, 'best_loss': 7.432834627337796}
drone_nominal {'update': 10, 'loss': 7.430732253779287, 'best_loss': 7.430732253779287}
drone_nominal {'update': 11, 'loss': 7.4292760970220755, 'best_loss': 7.4292760970220755}
drone_nominal {'update': 12, 'loss': 7.428209300941861, 'best_loss': 7.428209300941861}
drone_nominal {'update': 13, 'loss': 7.427392879745197, 'best_loss': 7.427392879745197}
drone_nominal {'update': 14, 'loss': 7.426746555896812, 'best_loss': 7.426746555896812}
drone_nominal {'delay_s': 0.02, 'windows': 72}
drone_nominal {'update': 1, 'loss': 7.950221479480041, 'best_loss': 7.950221479480041}
drone_nominal {'update': 2, 'loss': 7.632443400384134, 'best_loss': 7.632443400384134}
drone_nominal {'update': 3, 'loss': 7.447683728313268, 'best_loss': 7.447683728313268}
drone_nominal {'update': 4, 'loss': 7.357942804465274, 'best_loss': 7.357942804465274}
drone_nominal {'update': 5, 'loss': 7.317561681498522, 'best_loss': 7.317561681498522}
drone_nominal {'update': 6, 'loss': 7.299730147521197, 'best_loss': 7.299730147521197}
drone_nominal {'update': 7, 'loss': 7.291639665295044, 'best_loss': 7.291639665295044}
drone_nominal {'update': 8, 'loss': 7.287726151429401, 'best_loss': 7.287726151429401}
drone_nominal {'update': 9, 'loss': 7.285651847889541, 'best_loss': 7.285651847889541}
drone_nominal {'update': 10, 'loss': 7.284427281656079, 'best_loss': 7.284427281656079}
drone_nominal {'update': 11, 'loss': 7.283621814817509, 'best_loss': 7.283621814817509}
drone_nominal {'update': 12, 'loss': 7.283040478333964, 'best_loss': 7.283040478333964}
drone_nominal {'update': 13, 'loss': 7.282590595252805, 'best_loss': 7.282590595252805}
drone_nominal {'update': 14, 'loss': 7.282225493057798, 'best_loss': 7.282225493057798}
drone_nominal {'update': 15, 'loss': 7.281920029407796, 'best_loss': 7.281920029407796}
drone_nominal {'update': 16, 'loss': 7.281659584639496, 'best_loss': 7.281659584639496}
drone_nominal {'delay_s': 0.03, 'windows': 72}
drone_nominal {'update': 1, 'loss': 7.714558802479704, 'best_loss': 7.714558802479704}
drone_nominal {'update': 2, 'loss': 7.423257897610385, 'best_loss': 7.423257897610385}
drone_nominal {'update': 3, 'loss': 7.261037937318055, 'best_loss': 7.261037937318055}
drone_nominal {'update': 4, 'loss': 7.185502918080925, 'best_loss': 7.185502918080925}
drone_nominal {'update': 5, 'loss': 7.153156763814653, 'best_loss': 7.153156763814653}
drone_nominal {'update': 6, 'loss': 7.1395462775836345, 'best_loss': 7.1395462775836345}
drone_nominal {'update': 7, 'loss': 7.13365853275919, 'best_loss': 7.13365853275919}
drone_nominal {'update': 8, 'loss': 7.130940938230378, 'best_loss': 7.130940938230378}
drone_nominal {'update': 9, 'loss': 7.129558563467715, 'best_loss': 7.129558563467715}
drone_nominal {'update': 10, 'loss': 7.128768597359855, 'best_loss': 7.128768597359855}
drone_nominal {'update': 11, 'loss': 7.128262655477711, 'best_loss': 7.128262655477711}
drone_nominal {'update': 12, 'loss': 7.127906954603778, 'best_loss': 7.127906954603778}
drone_nominal {'update': 13, 'loss': 7.12763967793788, 'best_loss': 7.12763967793788}
drone_nominal {'delay_s': 0.04, 'windows': 72}
drone_nominal {'update': 1, 'loss': 7.442490386240498, 'best_loss': 7.442490386240498}
drone_nominal {'update': 2, 'loss': 7.1948376873438775, 'best_loss': 7.1948376873438775}
drone_nominal {'update': 3, 'loss': 7.069375798708197, 'best_loss': 7.069375798708197}
drone_nominal {'update': 4, 'loss': 7.0147167411728315, 'best_loss': 7.0147167411728315}
drone_nominal {'update': 5, 'loss': 6.992104492899203, 'best_loss': 6.992104492899203}
drone_nominal {'update': 6, 'loss': 6.982591953520491, 'best_loss': 6.982591953520491}
drone_nominal {'update': 7, 'loss': 6.9783456704997056, 'best_loss': 6.9783456704997056}
drone_nominal {'update': 8, 'loss': 6.976278441891209, 'best_loss': 6.976278441891209}
drone_nominal {'update': 9, 'loss': 6.975168840063685, 'best_loss': 6.975168840063685}
drone_nominal {'update': 10, 'loss': 6.974516804314508, 'best_loss': 6.974516804314508}
drone_nominal {'update': 11, 'loss': 6.974105094068964, 'best_loss': 6.974105094068964}
drone_nominal {'update': 12, 'loss': 6.9738314801299115, 'best_loss': 6.9738314801299115}
drone_nominal {'update': 13, 'loss': 6.973643277604181, 'best_loss': 6.973643277604181}
drone_nominal {'update': 14, 'loss': 6.973510830337827, 'best_loss': 6.973510830337827}
drone_nominal {'delay_s': 0.06, 'windows': 72}
drone_nominal {'update': 1, 'loss': 6.9448165893666705, 'best_loss': 6.9448165893666705}
drone_nominal {'update': 2, 'loss': 6.804990930752092, 'best_loss': 6.804990930752092}
drone_nominal {'update': 3, 'loss': 6.746188807708982, 'best_loss': 6.746188807708982}
drone_nominal {'update': 4, 'loss': 6.721311899552612, 'best_loss': 6.721311899552612}
drone_nominal {'update': 5, 'loss': 6.709627529692955, 'best_loss': 6.709627529692955}
drone_nominal {'update': 6, 'loss': 6.7035035517549515, 'best_loss': 6.7035035517549515}
drone_nominal {'update': 7, 'loss': 6.7000249722965535, 'best_loss': 6.7000249722965535}
drone_nominal {'update': 8, 'loss': 6.6979528465062526, 'best_loss': 6.6979528465062526}
drone_nominal {'update': 9, 'loss': 6.6966893689635105, 'best_loss': 6.6966893689635105}
drone_nominal {'update': 10, 'loss': 6.695911766949079, 'best_loss': 6.695911766949079}
drone_nominal {'update': 11, 'loss': 6.695432092180588, 'best_loss': 6.695432092180588}
drone_nominal {'update': 12, 'loss': 6.695136426646537, 'best_loss': 6.695136426646537}
drone_nominal {'delay_s': 0.08, 'windows': 72}
drone_nominal {'update': 1, 'loss': 6.627465698992246, 'best_loss': 6.627465698992246}
drone_nominal {'update': 2, 'loss': 6.5503121280764836, 'best_loss': 6.5503121280764836}
drone_nominal {'update': 3, 'loss': 6.522247674388083, 'best_loss': 6.522247674388083}
drone_nominal {'update': 4, 'loss': 6.510730268817947, 'best_loss': 6.510730268817947}
drone_nominal {'update': 5, 'loss': 6.504912246618391, 'best_loss': 6.504912246618391}
drone_nominal {'update': 6, 'loss': 6.501343720639782, 'best_loss': 6.501343720639782}
drone_nominal {'update': 7, 'loss': 6.498906328371482, 'best_loss': 6.498906328371482}
drone_nominal {'update': 8, 'loss': 6.4971921255729095, 'best_loss': 6.4971921255729095}
drone_nominal {'update': 9, 'loss': 6.495997013484031, 'best_loss': 6.495997013484031}
drone_nominal {'update': 10, 'loss': 6.495180370268692, 'best_loss': 6.495180370268692}
drone_nominal {'update': 11, 'loss': 6.494633610524354, 'best_loss': 6.494633610524354}
drone_nominal {'update': 12, 'loss': 6.4942738462477845, 'best_loss': 6.4942738462477845}
drone_nominal {'update': 13, 'loss': 6.494040389453596, 'best_loss': 6.494040389453596}
drone_nominal {'update': 14, 'loss': 6.493890532325918, 'best_loss': 6.493890532325918}
drone_nominal {'update': 15, 'loss': 6.493795146704939, 'best_loss': 6.493795146704939}
drone_nominal {'update': 16, 'loss': 6.493734829564974, 'best_loss': 6.493734829564974}
drone_nominal {'delay_s': 0.1, 'windows': 72}
drone_nominal {'update': 1, 'loss': 6.51239719915079, 'best_loss': 6.51239719915079}
drone_nominal {'update': 2, 'loss': 6.440907370477267, 'best_loss': 6.440907370477267}
drone_nominal {'update': 3, 'loss': 6.4169519971593, 'best_loss': 6.4169519971593}
drone_nominal {'update': 4, 'loss': 6.408502475597151, 'best_loss': 6.408502475597151}
drone_nominal {'update': 5, 'loss': 6.405471780674478, 'best_loss': 6.405471780674478}
drone_nominal {'update': 6, 'loss': 6.404359875470897, 'best_loss': 6.404359875470897}
drone_nominal {'update': 7, 'loss': 6.403934377534848, 'best_loss': 6.403934377534848}
drone_nominal {'update': 8, 'loss': 6.403761240326798, 'best_loss': 6.403761240326798}
drone_nominal {'update': 9, 'loss': 6.403685412839486, 'best_loss': 6.403685412839486}
drone_nominal {'delay_s': 0.12, 'windows': 72}
drone_nominal {'update': 1, 'loss': 6.6224105636105355, 'best_loss': 6.6224105636105355}
drone_nominal {'update': 2, 'loss': 6.507350887114711, 'best_loss': 6.507350887114711}
drone_nominal {'update': 3, 'loss': 6.470289202025404, 'best_loss': 6.470289202025404}
drone_nominal {'update': 4, 'loss': 6.4586224037927025, 'best_loss': 6.4586224037927025}
drone_nominal {'update': 5, 'loss': 6.455010145411623, 'best_loss': 6.455010145411623}
drone_nominal {'update': 6, 'loss': 6.453887926372082, 'best_loss': 6.453887926372082}
drone_nominal {'update': 7, 'loss': 6.453537512184721, 'best_loss': 6.453537512184721}
drone_nominal {'update': 8, 'loss': 6.453427698643767, 'best_loss': 6.453427698643767}
drone_nominal {'update': 9, 'loss': 6.453393163181583, 'best_loss': 6.453393163181583}
attitude response {'windows': 72}
attitude response {'update': 1, 'loss': 1.4756247321180498, 'best_loss': 1.4756247321180498}
attitude response {'update': 2, 'loss': 1.238974305051065, 'best_loss': 1.238974305051065}
attitude response {'update': 3, 'loss': 1.1904091336272937, 'best_loss': 1.1904091336272937}
attitude response {'update': 4, 'loss': 1.1831595519704419, 'best_loss': 1.1831595519704419}
attitude response {'update': 5, 'loss': 1.1823584139284553, 'best_loss': 1.1823584139284553}
attitude response {'update': 6, 'loss': 1.1822853031874192, 'best_loss': 1.1822853031874192}
attitude response {'update': 7, 'loss': 1.18227910173415, 'best_loss': 1.18227910173415}
attitude response {'update': 8, 'loss': 1.18227858327504, 'best_loss': 1.18227858327504}
drone_residual graph preparation {'windows': 72}
[W913 02:06:53.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
drone_residual {'update': 1, 'best_loss': 6.402691639427194, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 2, 'best_loss': 6.402691639427194, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 3, 'best_loss': 6.402691639427194, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 4, 'best_loss': 6.402691639427194, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 5, 'best_loss': 6.402691639427194, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 6, 'best_loss': 6.143465451148634, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 7, 'best_loss': 6.143465451148634, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 8, 'best_loss': 6.143465451148634, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 9, 'best_loss': 6.143465451148634, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 10, 'best_loss': 6.143465451148634, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 11, 'best_loss': 5.958192909469821, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 12, 'best_loss': 5.958192909469821, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 13, 'best_loss': 5.958192909469821, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 14, 'best_loss': 5.958192909469821, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 15, 'best_loss': 5.958192909469821, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 16, 'best_loss': 5.832702044102955, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 17, 'best_loss': 5.832702044102955, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 18, 'best_loss': 5.832702044102955, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 19, 'best_loss': 5.832702044102955, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 20, 'best_loss': 5.832702044102955, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 21, 'best_loss': 5.727757589526243, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 22, 'best_loss': 5.727757589526243, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 23, 'best_loss': 5.727757589526243, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 24, 'best_loss': 5.727757589526243, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 25, 'best_loss': 5.727757589526243, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 26, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 27, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 28, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 29, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 30, 'best_loss': 5.639109253756535, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 31, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 32, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 33, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 34, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 35, 'best_loss': 5.55842719076565, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 36, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 37, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 38, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 39, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 40, 'best_loss': 5.487999100368274, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 41, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 42, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 43, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 44, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 45, 'best_loss': 5.430558482937892, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 46, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 47, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 48, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 49, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 50, 'best_loss': 5.382610864086721, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 51, 'best_loss': 5.338145630059023, 'stopping': 'practical plateau; no update ceiling'}
