preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 1, 'loss': 3.087978302955149, 'best_loss': 3.087978302955149}
drone_nominal {'update': 2, 'loss': 2.951205272288149, 'best_loss': 2.951205272288149}
drone_nominal {'update': 3, 'loss': 2.9346961690592352, 'best_loss': 2.9346961690592352}
drone_nominal {'update': 4, 'loss': 2.9321953896055435, 'best_loss': 2.9321953896055435}
drone_nominal {'update': 5, 'loss': 2.931780686596089, 'best_loss': 2.931780686596089}
drone_nominal {'update': 6, 'loss': 2.9317077946924095, 'best_loss': 2.9317077946924095}
drone_nominal {'update': 7, 'loss': 2.9316945806421546, 'best_loss': 2.9316945806421546}
drone_nominal {'update': 8, 'loss': 2.931692140570434, 'best_loss': 2.931692140570434}
drone_nominal {'delay_s': 0.01, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.7360392345462707, 'best_loss': 2.7360392345462707}
drone_nominal {'update': 2, 'loss': 2.623619871989697, 'best_loss': 2.623619871989697}
drone_nominal {'update': 3, 'loss': 2.6113352995454147, 'best_loss': 2.6113352995454147}
drone_nominal {'update': 4, 'loss': 2.6096036512925402, 'best_loss': 2.6096036512925402}
drone_nominal {'update': 5, 'loss': 2.60933526370164, 'best_loss': 2.60933526370164}
drone_nominal {'update': 6, 'loss': 2.6092910658662696, 'best_loss': 2.6092910658662696}
drone_nominal {'update': 7, 'loss': 2.6092834897438215, 'best_loss': 2.6092834897438215}
drone_nominal {'update': 8, 'loss': 2.609282151687771, 'best_loss': 2.609282151687771}
drone_nominal {'delay_s': 0.02, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.3869427848045928, 'best_loss': 2.3869427848045928}
drone_nominal {'update': 2, 'loss': 2.352822275836101, 'best_loss': 2.352822275836101}
drone_nominal {'update': 3, 'loss': 2.3493656720599567, 'best_loss': 2.3493656720599567}
drone_nominal {'update': 4, 'loss': 2.348944084279055, 'best_loss': 2.348944084279055}
drone_nominal {'update': 5, 'loss': 2.348886523039431, 'best_loss': 2.348886523039431}
drone_nominal {'update': 6, 'loss': 2.3488777397423326, 'best_loss': 2.3488777397423326}
drone_nominal {'update': 7, 'loss': 2.3488762615332903, 'best_loss': 2.3488762615332903}
drone_nominal {'delay_s': 0.03, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.1824751985950455, 'best_loss': 2.1824751985950455}
