preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.958139878293291, 'best_loss': 2.958139878293291}
drone_nominal {'update': 2, 'loss': 2.680952384200097, 'best_loss': 2.680952384200097}
drone_nominal {'update': 3, 'loss': 2.654045817511437, 'best_loss': 2.654045817511437}
drone_nominal {'update': 4, 'loss': 2.649899637118468, 'best_loss': 2.649899637118468}
drone_nominal {'update': 5, 'loss': 2.6490494007090435, 'best_loss': 2.6490494007090435}
drone_nominal {'update': 6, 'loss': 2.648858068022119, 'best_loss': 2.648858068022119}
drone_nominal {'update': 7, 'loss': 2.648811982475878, 'best_loss': 2.648811982475878}
drone_nominal {'update': 8, 'loss': 2.6488002060752196, 'best_loss': 2.6488002060752196}
drone_nominal {'update': 9, 'loss': 2.648797047061409, 'best_loss': 2.648797047061409}
drone_nominal {'delay_s': 0.01, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.5745123830455645, 'best_loss': 2.5745123830455645}
drone_nominal {'update': 2, 'loss': 2.361994395034539, 'best_loss': 2.361994395034539}
drone_nominal {'update': 3, 'loss': 2.3435556588414554, 'best_loss': 2.3435556588414554}
drone_nominal {'update': 4, 'loss': 2.3411153494219006, 'best_loss': 2.3411153494219006}
drone_nominal {'update': 5, 'loss': 2.3407290495287096, 'best_loss': 2.3407290495287096}
drone_nominal {'update': 6, 'loss': 2.3406655959481517, 'best_loss': 2.3406655959481517}
drone_nominal {'update': 7, 'loss': 2.3406549961386154, 'best_loss': 2.3406549961386154}
drone_nominal {'update': 8, 'loss': 2.3406532025856226, 'best_loss': 2.3406532025856226}
drone_nominal {'delay_s': 0.02, 'windows': 81}
drone_nominal {'update': 1, 'loss': 2.140515715052534, 'best_loss': 2.140515715052534}
drone_nominal {'update': 2, 'loss': 2.1006651782452996, 'best_loss': 2.1006651782452996}
drone_nominal {'update': 3, 'loss': 2.096920193010851, 'best_loss': 2.096920193010851}
drone_nominal {'update': 4, 'loss': 2.0965090801519923, 'best_loss': 2.0965090801519923}
