[W908 16:11:34.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
{"iteration": 1, "best_score": 980.8732755875649, "feasible_fraction": 0.03125, "success_fraction": 0.03125, "closest_tip_m": 0.03911488953330496}
{"iteration": 2, "best_score": 981.1606415801454, "feasible_fraction": 0.125, "success_fraction": 0.125, "closest_tip_m": 0.034715312746656124}
{"iteration": 3, "best_score": 982.3550226989147, "feasible_fraction": 0.390625, "success_fraction": 0.359375, "closest_tip_m": 0.0209719110022255}
{"iteration": 4, "best_score": 982.5677425914755, "feasible_fraction": 0.4375, "success_fraction": 0.4375, "closest_tip_m": 0.01616054081730033}
{"iteration": 5, "best_score": 982.5677425914755, "feasible_fraction": 0.640625, "success_fraction": 0.625, "closest_tip_m": 0.01616054081730033}
{"iteration": 6, "best_score": 982.6425817615457, "feasible_fraction": 0.546875, "success_fraction": 0.53125, "closest_tip_m": 0.01616054081730033}
{"iteration": 7, "best_score": 983.0042380185781, "feasible_fraction": 0.828125, "success_fraction": 0.6875, "closest_tip_m": 0.016488630230809487}
{"iteration": 8, "best_score": 983.0042380185781, "feasible_fraction": 0.921875, "success_fraction": 0.90625, "closest_tip_m": 0.014295399999748604}
{"iteration": 9, "best_score": 983.1338107981271, "feasible_fraction": 0.90625, "success_fraction": 0.859375, "closest_tip_m": 0.014157467511892981}
{"iteration": 10, "best_score": 983.3706637557598, "feasible_fraction": 0.875, "success_fraction": 0.84375, "closest_tip_m": 0.011142167041781562}
{"iteration": 11, "best_score": 983.3845136421419, "feasible_fraction": 0.9375, "success_fraction": 0.890625, "closest_tip_m": 0.011142167041781562}
{"iteration": 12, "best_score": 983.7162355715147, "feasible_fraction": 0.90625, "success_fraction": 0.90625, "closest_tip_m": 0.009209047577409452}
